Date,Year,Venue,Barcelona_Goals,Real_Madrid_Goals,Winner,Real_Madrid_Own_Goals,Barcelona_Own_Goals,Barcelona_Scorers,Real_Madrid_Scorers,League
2009-05-02,2009,Santiago Bernabéu Stadium,6,2,Barcelona,,,"Henry, Henry, Puyol, Messi, Messi, Piqué","Higuaín, Ramos",La Liga
2009-11-29,2009,Camp Nou,1,0,Barcelona,,,Ibrahimović,,La Liga
2010-04-10,2010,Santiago Bernabéu Stadium,2,0,Barcelona,,,"Messi, Pedro",,La Liga
2010-11-29,2010,Camp Nou,5,0,Barcelona,,,"Xavi, Pedro, Villa, Villa, Jeffrén",,La Liga
2011-04-16,2011,Santiago Bernabéu Stadium,1,1,Draw,,,Messi,Ronaldo,La Liga
2011-12-10,2011,Santiago Bernabéu Stadium,3,1,Barcelona,,,"Sánchez, Xavi, Fàbregas",Benzema,La Liga
2012-04-21,2012,Camp Nou,1,2,Real Madrid,,,Sánchez,"Khedira, Ronaldo",La Liga
2012-10-07,2012,Camp Nou,2,2,Draw,,,"Messi, Messi","Ronaldo, Ronaldo",La Liga
2013-03-02,2013,Santiago Bernabéu Stadium,1,2,Real Madrid,,,Messi,"Benzema, Ramos",La Liga
2013-10-26,2013,Camp Nou,2,1,Barcelona,,,"Neymar, Sánchez",Jesé,La Liga
2014-03-23,2014,Santiago Bernabéu Stadium,4,3,Barcelona,,,"Iniesta, Messi, Messi, Messi","Benzema, Benzema, Ronaldo",La Liga
2014-10-25,2014,Santiago Bernabéu Stadium,1,3,Real Madrid,,,Neymar,"Ronaldo, Pepe, Benzema",La Liga
2015-03-22,2015,Camp Nou,2,1,Barcelona,,,"Mathieu, Suárez",Ronaldo,La Liga
2015-11-21,2015,Santiago Bernabéu Stadium,4,0,Barcelona,,,"Suárez, Suárez, Neymar, Iniesta",,La Liga
2016-04-02,2016,Camp Nou,1,2,Real Madrid,,,Piqué,"Benzema, Ronaldo",La Liga
2016-12-03,2016,Camp Nou,1,1,Draw,,,Suárez,Ramos,La Liga
2017-04-23,2017,Santiago Bernabéu Stadium,3,2,Barcelona,,,"Messi, Messi, Rakitić","Casemiro, Rodríguez",La Liga
2017-12-23,2017,Santiago Bernabéu Stadium,3,0,Barcelona,,,"Suárez, Messi, Vidal",,La Liga
2018-05-06,2018,Camp Nou,2,2,Draw,,,"Suárez, Messi","Ronaldo, Bale",La Liga
2018-10-28,2018,Camp Nou,5,1,Barcelona,,,"Coutinho, Suárez, Suárez, Suárez, Vidal",Marcelo,La Liga
2019-03-02,2019,Santiago Bernabéu Stadium,1,0,Barcelona,,,Rakitić,,La Liga
2019-12-18,2019,Camp Nou,0,0,Draw,,,,,La Liga
2020-03-01,2020,Santiago Bernabéu Stadium,0,2,Real Madrid,,,,"Vinícius, Díaz",La Liga
2020-10-24,2020,Camp Nou,1,3,Real Madrid,,,Fati,"Valverde, Ramos, Modrić",La Liga
2021-04-10,2021,Santiago Bernabéu Stadium,1,2,Real Madrid,,,Mingueza,"Benzema, Kroos",La Liga
2021-10-24,2021,Camp Nou,1,2,Real Madrid,,,Agüero,"Alaba, Vázquez",La Liga
2022-03-20,2022,Santiago Bernabéu Stadium,4,0,Barcelona,,,"Aubameyang, Aubameyang, Araújo, Torres",,La Liga
2022-10-16,2022,Santiago Bernabéu Stadium,1,3,Real Madrid,,,Torres,"Benzema, Valverde, Rodrygo",La Liga
2023-03-19,2023,Camp Nou,2,1,Barcelona,,Araújo,"Roberto, Kessié",,La Liga
2023-10-28,2023,Camp Nou,1,2,Real Madrid,,,Gündoğan,"Bellingham, Bellingham",La Liga
2024-04-21,2024,Santiago Bernabéu Stadium,2,3,Real Madrid,,,"Christensen, López","Vinícius, Vázquez, Bellingham",La Liga
2024-10-26,2024,Santiago Bernabéu Stadium,4,0,Barcelona,,,"Lewandowski, Lewandowski, Yamal, Raphinha",,La Liga
